Content,Date,Language,Location,Number of Likes,Number of Retweets,In Reply To,Author Name,Author Description,Author Statuses Count,Author Favourites Count,Author Friends Count,Author Followers Count,Author Listed Count,Author Verified,Longitude,Latitude,Author
string,time,discrete,discrete,continuous,continuous,discrete,discrete,string,continuous,continuous,continuous,continuous,continuous,discrete,continuous,continuous,discrete
meta title=True,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta
"Circle of Life!!! 
@MumbaiPolice Bravo! Well done on having recognized the biggest Bigot of the Indian Media. https://t.co/rXalKILvMm",2020-10-24 04:05:55,en,,0.0,0.0,,Mohammed Feroze Khan,Azure. DevOps. MCT. MDT. SCCM. ConfigMgr. OSD. Ansible. Docker. PowerShell. Terraform. Python. AppV. Vmware DEM. Appsense. Ivanti.,10271.0,8386.0,720.0,641.0,74.0,False,,,@ferozekhan267oa
@Nadeema72017232 @fawadchaudhry This list is Created by FORBES not by Indian Media https://t.co/DkRdv6stSL,2020-10-24 04:05:44,en,,0.0,0.0,@Nadeema72017232,Imran Khan Niazi🇵🇰,Pakistan Quaid e Azam | Selected Prime Minister | General Bajwa Puppet | Kashmir Ambassador | Drug Addict | Riyasat E Pudina 🌿🇵🇰 Warrior,412.0,147.0,90.0,30.0,0.0,False,,,@ImrandKhan3
"@timesofindia @TOIWorld My dear Indian media, 

                  Pakistan has fulfilled 21 out of 27 FATF obligations, they just need 6 more to get white listed. 

Feb 2021 is when Pakistan breaks free from the shackles of FATF. Now it's India's turn to get black listed in Feb 2021. Save my tweet.",2020-10-24 04:04:32,en,,0.0,0.0,@timesofindia,💞°• ×℮℮ᔕhɑɑղ •°💞,‏❤...دل نرم  دماغ  گرم باقی سب اللہ کا کرم ...🎈,4897.0,4411.0,296.0,398.0,0.0,False,,,@Monj_gool
"@ZeeNewsEnglish Why dnt media avoid these people? Boycott all these parties n netas !! No Indian media sud attend ny such presss conference of any of these conditional Indians !! India is for Indians, not for conditional Indians !!",2020-10-24 04:02:35,en,,0.0,0.0,@ZeeNewsEnglish,Rajesh Kumar Tiwari,,100.0,508.0,174.0,183.0,0.0,False,,,@tiwarirkpo
@pash22 @malini_aisola @kiranshaw @BioconBiologics @picardonhealth I don’t understand why Indian media is talking to corporate India heads like Kiran Mazumdar &amp; Nandan Nilekani on what shud be the vaccine strategy. They should speak to public health/health economics experts &amp; GoI/State officers/docs who have real experience in working on field.,2020-10-24 04:02:12,en,,7.0,3.0,@pash22,Anurag,,240.0,119.0,125.0,51.0,1.0,False,,,@speedmachine09
@palkisu @WIONews Who is #CCPChina and @China_Amb_India to tell Indian Media in India what to report - just reminding @China_Amb_India that this is not #XiJinping China where he dictates everything.,2020-10-24 04:02:12,en,,0.0,0.0,@palkisu,Sanjeev Dalal,"Bhartiya citizen, a veteran and an entrepreneur",1436.0,1637.0,105.0,82.0,0.0,False,,,@DalalSanjeev
"Quiet revolution. 

Indian media should be covering this , this needs to be thrown on the face of #CCP https://t.co/DgtnWtchhq",2020-10-24 04:01:57,en,,0.0,0.0,,Mr.Miyagi宮城さん,"The Day of Reckoning is here
||||||||
計算の日はここにあります",4329.0,9274.0,387.0,154.0,0.0,False,,,@MiyajuSun
@SyyedSuhail @moi_maahi This is showing real face of Indian media and politics . We stand with republic #BharatwithArnabGoswami  #302B4Election4SSR,2020-10-24 04:01:31,en,,2.0,1.0,@SyyedSuhail,🦋kaur💫justice4SSR💫 🇮🇳🇺🇸,"Modi Ji Fan, Proud Indian. fighting against injustice",5958.0,3554.0,197.0,80.0,0.0,False,,,@Mandeep79usKaur
"#SaturdaySoch 

Could #Trump have ever imagined that he would get such big coverage from Indian media for his comment

Liberals of all hues grabbed it like a baseball club to indulge in their favourite pastime

Law of unintended consequences stays strong

#RiskOfficerSpeaketh",2020-10-24 04:01:07,en,,2.0,1.0,,KN Vaidyanathan,"EVP, Mahindra. 
Member SEBI MF AdvComm. 
Musings Guru. 
Sudoku/Crossword Enthusiast.",9690.0,1233.0,178.0,3686.0,37.0,False,,,@KNVaidy
"@instant05432918 @SameeraKhan Quoting Indian media 
You guys are hopeless",2020-10-24 03:58:44,en,,1.0,0.0,@instant05432918,☭ Sabina ☭,🏴South Asia- China Geopolitics |   Anti-imperialist  | Unified Marxist–Leninist | #SupportBRI,10379.0,25271.0,643.0,2066.0,10.0,False,,,@Comrade_Sabina
"You always remain in denial like modi Andh bhakhts.

The Hindu reported that 1000 Sq km recently captured by China.

China has occupied many regions on human intelligence of ISI. Indian media. 😂 😂 😂 https://t.co/5ZP9nk2qrQ",2020-10-24 03:57:23,en,,0.0,0.0,,Nisar Kolachi 🇵🇰 🌹,I love Pak Army and ISI,3435.0,453.0,150.0,29.0,0.0,False,,,@NisarKolachi3
